                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3845,                 4.4289,                 3.2853,                0.00428,                   0.25,                 0.0308,                0.02215,                 5.4359,                 4.4633,                 3.8774,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 4.2948,                 4.3951,                 3.3559,                0.00725,                   0.25,                0.03331,                0.02177,                 5.2904,                 4.4925,                 3.6928,             5.8118e-05,             5.8118e-05,             5.8118e-05
                      3,                 3.8363,                 4.4309,                 2.8759,                0.00217,                   0.25,                0.02813,                0.01569,                 3.4223,                 4.5673,                 2.4811,             9.1025e-05,             9.1025e-05,             9.1025e-05
                      4,                 3.0354,                 4.3258,                 2.2243,                0.00357,                  0.375,                0.15948,                0.07609,                 2.9505,                 4.5342,                 2.3179,             0.00012371,             0.00012371,             0.00012371
                      5,                 2.9222,                 4.0938,                  2.023,                0.00299,                  0.375,                0.08884,                0.05345,                 2.6264,                 4.4863,                 2.0298,             0.00015618,             0.00015618,             0.00015618
                      6,                  2.623,                 3.8779,                 1.8409,                 0.0031,                  0.375,                0.25652,                0.08188,                 2.2915,                 4.3475,                 1.6034,             0.00018843,             0.00018843,             0.00018843
                      7,                  2.428,                 3.5436,                 1.7098,                0.00369,                  0.375,                0.19434,                0.06372,                 2.1168,                 4.2385,                 1.5097,             0.00022046,             0.00022046,             0.00022046
                      8,                 2.2469,                 3.2801,                 1.6018,                0.03085,                  0.398,                 0.2254,                0.11074,                  2.122,                 4.0957,                 1.5831,             0.00025226,             0.00025226,             0.00025226
                      9,                 2.2477,                 2.9947,                   1.59,                0.05599,                  0.442,                 0.4273,                0.17724,                 2.2261,                 3.7059,                 1.5452,             0.00028385,             0.00028385,             0.00028385
                     10,                 2.0887,                 2.6632,                 1.4516,                0.06159,                0.48925,                0.37183,                0.18785,                 1.7595,                  3.166,                 1.3243,             0.00031522,             0.00031522,             0.00031522
                     11,                 1.9508,                 2.4007,                 1.3799,                0.68811,                0.32525,                0.37578,                0.25153,                 1.6936,                 2.6669,                 1.3153,             0.00034637,             0.00034637,             0.00034637
                     12,                 2.0708,                 2.3422,                 1.3303,                0.46974,                 0.4995,                0.41017,                0.23923,                 1.6792,                 2.3507,                 1.3548,              0.0003773,              0.0003773,              0.0003773
                     13,                 1.9551,                 1.9963,                 1.3287,                0.05635,                0.54275,                0.33881,                0.20259,                   1.61,                 2.2513,                 1.3311,             0.00040801,             0.00040801,             0.00040801
                     14,                 1.8771,                 1.9795,                 1.2528,                0.06355,                 0.5685,                0.39429,                0.24941,                 1.7222,                 2.2074,                 1.3186,              0.0004385,              0.0004385,              0.0004385
                     15,                 1.8291,                 1.8343,                 1.2997,                0.80321,                0.29119,                0.33019,                 0.2069,                 1.8757,                 1.8987,                 1.3296,             0.00046876,             0.00046876,             0.00046876
                     16,                 1.9573,                 1.7815,                 1.2846,                0.76228,                0.42424,                0.40655,                0.22973,                 1.9961,                  1.928,                 1.2897,             0.00049881,             0.00049881,             0.00049881
                     17,                 1.8741,                 1.8216,                 1.2128,                0.73098,                0.55039,                0.53446,                0.27016,                 2.0109,                 1.9474,                 1.2286,             0.00052864,             0.00052864,             0.00052864
                     18,                 1.8384,                 1.6563,                 1.2133,                0.76577,                0.47145,                0.53399,                0.30243,                 1.8519,                 1.8626,                 1.2063,             0.00055825,             0.00055825,             0.00055825
                     19,                 1.7568,                 1.5813,                 1.2005,                0.69337,                  0.513,                0.54075,                0.32361,                 1.7813,                 1.7335,                 1.2158,             0.00058764,             0.00058764,             0.00058764
                     20,                 1.8717,                 1.5413,                 1.2394,                0.72235,                0.54331,                0.56037,                0.31902,                 1.8364,                 1.5526,                 1.2107,             0.00061681,             0.00061681,             0.00061681
                     21,                  1.826,                 1.4456,                 1.2371,                0.67075,                0.49363,                 0.5036,                0.27441,                 1.8568,                 1.7882,                 1.1771,             0.00064576,             0.00064576,             0.00064576
                     22,                 1.7244,                 1.5084,                 1.2092,                0.62577,                0.52604,                0.47198,                0.27329,                 1.9305,                 1.8618,                 1.1757,             0.00067449,             0.00067449,             0.00067449
                     23,                 1.6971,                 1.4519,                 1.2062,                0.44267,                0.53596,                0.45794,                0.27007,                 1.9266,                 1.4487,                 1.1931,               0.000703,               0.000703,               0.000703
                     24,                 1.5458,                  1.346,                 1.1646,                0.46905,                  0.557,                 0.4758,                0.23894,                 1.8131,                 1.0223,                 1.1807,             0.00073129,             0.00073129,             0.00073129
                     25,                 1.5245,                 1.3412,                 1.1559,                0.41523,                0.53425,                 0.4773,                0.22637,                 1.8029,                 1.0561,                 1.2449,             0.00075936,             0.00075936,             0.00075936
                     26,                 1.5321,                 1.2945,                 1.1605,                0.66194,                0.46079,                0.51157,                0.27884,                 1.7712,                 1.0583,                 1.2568,             0.00076428,             0.00076428,             0.00076428
                     27,                 1.5651,                 1.2894,                 1.1607,                0.68791,                0.48567,                0.57201,                0.34275,                 1.8421,                 1.0369,                 1.2127,             0.00076153,             0.00076153,             0.00076153
                     28,                 1.5214,                 1.2167,                 1.1493,                0.67568,                0.42498,                 0.5503,                0.33749,                 2.4006,                  1.231,                 1.3023,             0.00075878,             0.00075878,             0.00075878
                     29,                 1.7462,                 1.3089,                 1.1816,                0.70279,                0.44605,                0.55141,                0.39226,                   1.81,                 1.0303,                 1.1892,             0.00075603,             0.00075603,             0.00075603
                     30,                 1.5522,                 1.2781,                 1.1516,                0.69637,                0.47937,                0.63978,                0.39381,                 1.7371,                 1.0082,                 1.1573,             0.00075328,             0.00075328,             0.00075328
                     31,                 1.6258,                 1.1748,                 1.1604,                0.68937,                 0.4631,                0.62125,                0.34672,                 1.9066,                 1.0111,                   1.23,             0.00075053,             0.00075053,             0.00075053
                     32,                 1.6233,                 1.1573,                 1.1675,                0.67073,                0.46554,                 0.6114,                0.35659,                 1.8256,                0.99556,                 1.2469,             0.00074778,             0.00074778,             0.00074778
                     33,                 1.4916,                 1.0951,                  1.171,                0.48489,                0.63746,                0.67012,                0.43882,                 1.6034,                0.96877,                 1.1509,             0.00074504,             0.00074504,             0.00074504
                     34,                 1.5487,                 1.1886,                 1.1403,                0.47074,                0.63741,                0.65631,                0.47209,                  1.567,                0.99199,                 1.1013,             0.00074229,             0.00074229,             0.00074229
                     35,                 1.5039,                 1.1652,                 1.1441,                0.52418,                  0.575,                0.57181,                0.39408,                 1.5225,                0.99373,                 1.1083,             0.00073954,             0.00073954,             0.00073954
                     36,                 1.5644,                 1.1248,                 1.1653,                 0.3716,                0.61016,                0.55698,                0.34956,                 1.5705,                 1.0531,                 1.1804,             0.00073679,             0.00073679,             0.00073679
                     37,                  1.522,                 1.0653,                 1.1573,                0.40713,                0.62813,                0.59237,                0.36839,                 1.7913,                 1.1231,                 1.2771,             0.00073404,             0.00073404,             0.00073404
                     38,                 1.4814,                 1.0607,                 1.1549,                0.58957,                0.68671,                0.64976,                0.44691,                 1.9714,                 1.0628,                 1.1824,             0.00073129,             0.00073129,             0.00073129
                     39,                 1.5503,                 1.0849,                 1.1471,                0.57879,                0.70212,                 0.6436,                0.42711,                 1.9637,                 1.0545,                 1.1757,             0.00072854,             0.00072854,             0.00072854
                     40,                 1.5357,                 1.0383,                 1.1549,                0.59848,                0.59859,                0.63568,                0.44566,                 1.7495,                0.98871,                 1.1487,             0.00072579,             0.00072579,             0.00072579
                     41,                  1.455,                 1.0248,                 1.1364,                0.72229,                0.59284,                0.63177,                0.42026,                 1.4895,                0.89663,                 1.0476,             0.00072304,             0.00072304,             0.00072304
                     42,                 1.4266,                 1.0172,                 1.1279,                0.84957,                 0.5925,                0.65045,                0.40312,                 1.6314,                0.87007,                 1.1059,              0.0007203,              0.0007203,              0.0007203
                     43,                 1.5945,                  1.045,                 1.1432,                0.72606,                0.65909,                0.67688,                 0.4357,                 1.7285,                0.90966,                 1.1696,             0.00071755,             0.00071755,             0.00071755
                     44,                 1.4172,                0.97572,                  1.139,                0.64094,                 0.6703,                0.69356,                0.44642,                  1.656,                0.89229,                 1.0932,              0.0007148,              0.0007148,              0.0007148
                     45,                 1.4736,                 1.0141,                 1.1222,                0.60345,                0.69208,                0.69998,                0.49656,                  1.566,                0.85772,                 1.0773,             0.00071205,             0.00071205,             0.00071205
                     46,                 1.4157,                0.96624,                 1.1346,                0.66048,                0.64357,                0.70325,                0.52155,                 1.5277,                0.84818,                 1.0797,              0.0007093,              0.0007093,              0.0007093
                     47,                 1.3177,                  0.981,                 1.1139,                0.66039,                0.64916,                0.70004,                 0.4851,                 1.6295,                0.84638,                 1.0743,             0.00070655,             0.00070655,             0.00070655
                     48,                 1.3325,                 0.9347,                 1.1127,                0.63233,                 0.6258,                 0.6785,                0.47022,                 1.7254,                0.86363,                 1.1094,              0.0007038,              0.0007038,              0.0007038
                     49,                 1.3727,                 0.9602,                 1.1265,                0.56716,                0.67049,                0.69097,                 0.4867,                 1.6354,                 0.8449,                 1.1303,             0.00070105,             0.00070105,             0.00070105
                     50,                 1.3581,                0.91321,                 1.0765,                0.60403,                0.67812,                0.69922,                0.50625,                  1.484,                0.80058,                 1.1123,              0.0006983,              0.0006983,              0.0006983
                     51,                 1.3612,                0.93704,                 1.0897,                0.61765,                 0.6739,                0.70851,                0.47241,                 1.5652,                0.80476,                  1.068,             0.00069556,             0.00069556,             0.00069556
                     52,                  1.454,                 0.8935,                 1.1041,                0.56367,                0.68437,                0.71178,                 0.4925,                 1.5494,                0.80857,                 1.0544,             0.00069281,             0.00069281,             0.00069281
                     53,                 1.3425,                0.89287,                 1.0739,                0.61891,                0.63446,                0.70718,                0.46725,                  1.427,                0.77849,                 1.0753,             0.00069006,             0.00069006,             0.00069006
                     54,                 1.3245,                0.92838,                 1.0905,                0.69369,                0.67698,                0.70101,                0.53623,                 1.3344,                0.75736,                 1.0858,             0.00068731,             0.00068731,             0.00068731
                     55,                 1.2842,                0.88416,                 1.0952,                0.61641,                0.69015,                0.70345,                0.49303,                 1.4569,                0.80197,                 1.1359,             0.00068456,             0.00068456,             0.00068456
                     56,                 1.4037,                0.90519,                 1.1049,                0.58314,                0.66642,                0.70201,                0.47976,                 1.4807,                0.83103,                 1.1107,             0.00068181,             0.00068181,             0.00068181
                     57,                 1.3938,                0.97081,                 1.0854,                0.60791,                0.65551,                0.70006,                0.48142,                 1.4873,                0.82097,                 1.0711,             0.00067906,             0.00067906,             0.00067906
                     58,                 1.2774,                0.86695,                  1.082,                0.64804,                0.63627,                0.70644,                0.50349,                 1.4424,                0.80211,                  1.048,             0.00067631,             0.00067631,             0.00067631
                     59,                  1.331,                0.88668,                 1.0771,                0.64638,                0.66636,                0.71138,                0.51225,                 1.4102,                 0.7975,                 1.0411,             0.00067356,             0.00067356,             0.00067356
                     60,                 1.2569,                0.88232,                 1.0925,                0.59907,                0.66073,                0.71874,                0.50183,                 1.5319,                0.82381,                 1.0527,             0.00067081,             0.00067081,             0.00067081
                     61,                 1.3607,                 0.8887,                  1.074,                0.55193,                0.65823,                0.70839,                0.49075,                 1.6796,                0.82055,                 1.0736,             0.00066807,             0.00066807,             0.00066807
                     62,                 1.2605,                 0.8661,                 1.1152,                0.60427,                0.65276,                0.71089,                0.52958,                 1.5332,                0.76578,                 1.0658,             0.00066532,             0.00066532,             0.00066532
                     63,                 1.2757,                0.88688,                 1.0447,                0.62129,                0.65031,                0.70159,                0.53407,                 1.3959,                0.75253,                 1.0449,             0.00066257,             0.00066257,             0.00066257
                     64,                  1.271,                0.83069,                 1.0367,                0.62722,                0.66503,                0.68824,                0.49868,                 1.3768,                0.76261,                 1.0232,             0.00065982,             0.00065982,             0.00065982
                     65,                 1.3154,                0.83428,                 1.0963,                0.63493,                0.67645,                0.67687,                0.46381,                 1.4492,                0.77955,                 1.0417,             0.00065707,             0.00065707,             0.00065707
                     66,                 1.3108,                0.84831,                 1.0779,                0.61874,                0.68056,                0.67628,                0.45047,                 1.4523,                0.77583,                 1.0462,             0.00065432,             0.00065432,             0.00065432
                     67,                 1.2596,                0.81542,                 1.0681,                0.62879,                0.67289,                0.68456,                0.51991,                 1.4449,                0.74932,                 1.0354,             0.00065157,             0.00065157,             0.00065157
                     68,                 1.1687,                0.76512,                 1.0461,                0.61821,                0.67509,                0.69755,                0.53307,                 1.4188,                0.72439,                 1.0455,             0.00064882,             0.00064882,             0.00064882
                     69,                 1.1732,                0.77951,                 1.0331,                0.59867,                0.67521,                0.70335,                0.54596,                 1.4422,                0.75789,                 1.0726,             0.00064607,             0.00064607,             0.00064607
                     70,                 1.2754,                0.80046,                 1.0461,                0.57876,                0.67255,                0.70398,                0.53443,                 1.5175,                0.79358,                 1.0906,             0.00064333,             0.00064333,             0.00064333
                     71,                 1.3129,                 0.7888,                 1.0783,                0.56454,                0.67357,                0.70573,                0.55742,                 1.5333,                0.81994,                 1.0916,             0.00064058,             0.00064058,             0.00064058
                     72,                 1.2497,                 0.7936,                 1.0646,                0.56041,                 0.6877,                0.70859,                0.55866,                 1.5083,                0.82275,                 1.0875,             0.00063783,             0.00063783,             0.00063783
