                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0867,                 4.4457,                 3.1353,                0.00432,                0.27083,                0.02873,                0.01763,                    5.3,                 4.4379,                 3.8041,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 3.5582,                 4.4012,                 2.6902,                0.00545,                0.29167,                0.07391,                0.04459,                 2.8016,                 4.5516,                 2.1732,             0.00010722,             0.00010722,             0.00010722
                      3,                 2.7789,                  4.063,                 1.9351,                0.00805,                  0.375,                 0.2643,                0.11831,                 2.1021,                 4.4428,                  1.781,              0.0001633,              0.0001633,              0.0001633
                      4,                 2.4387,                 3.5225,                 1.6487,                0.01063,                0.37608,                0.29654,                0.16703,                 2.1526,                 4.3445,                 1.8674,             0.00021823,             0.00021823,             0.00021823
                      5,                 2.1963,                 2.8596,                  1.522,                0.04753,                0.46259,                 0.2056,                0.11155,                 1.8662,                 3.6188,                  1.547,               0.000272,               0.000272,               0.000272
                      6,                 2.0564,                 2.3192,                 1.4335,                0.96025,                0.17401,                0.24205,                0.13365,                 1.6893,                 3.0198,                 1.3755,             0.00032462,             0.00032462,             0.00032462
                      7,                  2.088,                 2.0654,                 1.3813,                0.66371,                0.47378,                0.39389,                0.26661,                 1.8027,                  2.439,                 1.4528,             0.00037609,             0.00037609,             0.00037609
                      8,                  1.996,                 1.9231,                 1.3285,                0.74755,                0.35481,                0.40897,                0.24352,                 1.8045,                 2.0729,                 1.5106,              0.0004264,              0.0004264,              0.0004264
                      9,                 1.8403,                 1.7858,                 1.3439,                0.92366,                0.22346,                0.25691,                0.10511,                 1.8736,                  1.931,                 1.2427,             0.00047556,             0.00047556,             0.00047556
                     10,                 1.8402,                 1.6827,                 1.3116,                0.95369,                0.18776,                0.23065,                0.10718,                  2.024,                 1.8389,                 1.2796,             0.00052356,             0.00052356,             0.00052356
                     11,                 1.7285,                 1.6188,                 1.2699,                0.98248,                0.22894,                0.28333,                  0.183,                  1.543,                 1.3023,                 1.2116,             0.00057041,             0.00057041,             0.00057041
                     12,                 1.7093,                 1.4475,                 1.2702,                0.99408,                0.23785,                0.35995,                0.19911,                 1.6172,                 1.1989,                 1.2421,              0.0006161,              0.0006161,              0.0006161
                     13,                 1.7335,                 1.4317,                 1.2413,                0.86839,                0.23994,                0.41403,                0.21747,                 1.6154,                 1.1332,                 1.2319,             0.00066064,             0.00066064,             0.00066064
                     14,                 1.6002,                 1.3584,                 1.2283,                0.98689,                 0.2278,                0.45312,                0.23206,                 1.5911,                 1.4248,                 1.2081,             0.00070402,             0.00070402,             0.00070402
                     15,                 1.6029,                 1.2998,                 1.2154,                0.96045,                0.27837,                0.45853,                 0.2753,                 1.5376,                0.98892,                 1.3291,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.5401,                 1.2325,                 1.2144,                0.69608,                0.54954,                0.47114,                0.25664,                 1.4297,                0.90477,                  1.237,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.5179,                 1.1744,                   1.22,                0.74012,                0.53612,                0.47953,                 0.2973,                 1.5466,                 1.0136,                  1.251,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.5517,                 1.1671,                 1.2087,                0.74455,                0.55536,                0.48968,                0.29878,                 1.8808,                 1.0959,                 1.3651,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.5982,                 1.1214,                  1.248,                0.73454,                0.60737,                 0.5197,                0.36683,                 1.3517,                0.91209,                 1.1921,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.6276,                  1.188,                 1.1931,                0.73879,                0.59375,                0.50018,                0.31114,                 1.4447,                0.92143,                 1.1815,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.4632,                 1.0937,                 1.2143,                0.76644,                 0.6061,                0.51686,                0.31093,                  1.465,                0.89529,                 1.1965,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.4527,                 1.0643,                 1.1926,                0.82816,                 0.6061,                0.58706,                0.43587,                  1.427,                0.89823,                 1.2587,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.4962,                 1.0465,                 1.2055,                0.82013,                0.51761,                0.55291,                0.43398,                 1.3248,                0.88321,                 1.2222,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.3768,                 1.0002,                 1.1713,                0.93408,                0.48516,                0.59804,                0.37521,                 1.7238,                 0.9111,                 1.2284,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.3621,                 0.9423,                 1.1606,                0.92158,                0.49362,                0.59163,                0.32694,                 1.7349,                0.92509,                 1.1851,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.3818,                0.96669,                 1.1609,                0.70437,                 0.6495,                0.64108,                0.43169,                 1.5449,                0.87685,                 1.1611,             0.00062683,             0.00062683,             0.00062683
                     27,                 1.2921,                0.91325,                 1.1381,                0.75289,                   0.65,                0.64698,                0.44226,                 1.2496,                0.76219,                 1.1705,             0.00061859,             0.00061859,             0.00061859
                     28,                 1.3276,                 0.9308,                 1.1468,                0.73829,                0.66875,                0.64264,                0.45377,                  1.376,                0.88134,                 1.1902,             0.00061034,             0.00061034,             0.00061034
                     29,                 1.3629,                0.92555,                 1.1547,                 0.7296,                0.66875,                0.64512,                0.46659,                 1.3668,                0.85206,                 1.2129,             0.00060209,             0.00060209,             0.00060209
                     30,                 1.3651,                0.93144,                 1.1669,                0.88063,                0.60779,                0.65653,                0.46671,                 1.2672,                0.76357,                 1.2205,             0.00059385,             0.00059385,             0.00059385
                     31,                 1.3203,                 0.8704,                 1.1538,                0.92966,                0.55262,                0.67081,                0.43299,                 1.2938,                 0.7216,                 1.1938,              0.0005856,              0.0005856,              0.0005856
